Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (26865677),Giannis Antetokounmpo,26865677,PF/C/F/UTIL,12300,PHI@MIL 03/04/2023 08:30PM ET,MIL,57
C,Joel Embiid (26865681),Joel Embiid,26865681,C/UTIL,11200,PHI@MIL 03/04/2023 08:30PM ET,PHI,57.24
C,Domantas Sabonis (26865683),Domantas Sabonis,26865683,C/UTIL,10000,MIN@SAC 03/04/2023 10:00PM ET,SAC,47.63
PG,James Harden (26865685),James Harden,26865685,PG/G/UTIL,9700,PHI@MIL 03/04/2023 08:30PM ET,PHI,49.84
PG,Trae Young (26865688),Trae Young,26865688,PG/G/UTIL,9500,ATL@MIA 03/04/2023 08:00PM ET,ATL,48.27
SG/SF,Anthony Edwards (26865691),Anthony Edwards,26865691,SG/SF/F/G/UTIL,9400,MIN@SAC 03/04/2023 10:00PM ET,MIN,43.23
PG/SG,Donovan Mitchell (26865696),Donovan Mitchell,26865696,PG/SG/G/UTIL,9300,DET@CLE 03/04/2023 07:30PM ET,CLE,44.11
PG,De'Aaron Fox (26865700),De'Aaron Fox,26865700,PG/G/UTIL,9100,MIN@SAC 03/04/2023 10:00PM ET,SAC,43.00
SF,Jimmy Butler (26865703),Jimmy Butler,26865703,SF/F/UTIL,8900,ATL@MIA 03/04/2023 08:00PM ET,MIA,41.16
PG,Darius Garland (26865706),Darius Garland,26865706,PG/G/UTIL,8800,DET@CLE 03/04/2023 07:30PM ET,CLE,40.3
PG,Jrue Holiday (26865709),Jrue Holiday,26865709,PG/G/UTIL,8700,PHI@MIL 03/04/2023 08:30PM ET,MIL,40.15
C,Karl-Anthony Towns (26865712),Karl-Anthony Towns,26865712,C/UTIL,8600,MIN@SAC 03/04/2023 10:00PM ET,MIN,41.71
C,Bam Adebayo (26865714),Bam Adebayo,26865714,C/UTIL,8000,ATL@MIA 03/04/2023 08:00PM ET,MIA,41.56
PG/SG,Dejounte Murray (26865716),Dejounte Murray,26865716,PG/SG/G/UTIL,7800,ATL@MIA 03/04/2023 08:00PM ET,ATL,40.82
PF/C,Evan Mobley (26865720),Evan Mobley,26865720,PF/C/F/UTIL,7600,DET@CLE 03/04/2023 07:30PM ET,CLE,34.77
C,Alperen Sengun (26865724),Alperen Sengun,26865724,C/UTIL,7500,HOU@SAS 03/04/2023 08:00PM ET,HOU,34.31
PG,Kevin Porter Jr. (26865726),Kevin Porter Jr.,26865726,PG/G/UTIL,7400,HOU@SAS 03/04/2023 08:00PM ET,HOU,36.99
C,Rudy Gobert (26865729),Rudy Gobert,26865729,C/UTIL,7300,MIN@SAC 03/04/2023 10:00PM ET,MIN,33.44
PG/SG,Tyler Herro (26865731),Tyler Herro,26865731,PG/SG/G/UTIL,7200,ATL@MIA 03/04/2023 08:00PM ET,MIA,36.89
SF,Keldon Johnson (26865735),Keldon Johnson,26865735,SF/F/UTIL,7000,HOU@SAS 03/04/2023 08:00PM ET,SAS,33.84
C,Jarrett Allen (26865738),Jarrett Allen,26865738,C/UTIL,6900,DET@CLE 03/04/2023 07:30PM ET,CLE,33.48
PF/C,Bobby Portis (26865740),Bobby Portis,26865740,PF/C/F/UTIL,6800,PHI@MIL 03/04/2023 08:30PM ET,MIL,31.09
C,Brook Lopez (26865744),Brook Lopez,26865744,C/UTIL,6600,PHI@MIL 03/04/2023 08:30PM ET,MIL,30.90
SF,Khris Middleton (26865746),Khris Middleton,26865746,SF/F/UTIL,6500,PHI@MIL 03/04/2023 08:30PM ET,MIL,26.59
C,Zach Collins (26865749),Zach Collins,26865749,C/UTIL,6400,HOU@SAS 03/04/2023 08:00PM ET,SAS,23.73
SF/PF,Bojan Bogdanovic (26865751),Bojan Bogdanovic,26865751,SF/PF/F/UTIL,6300,DET@CLE 03/04/2023 07:30PM ET,DET,31.67
PG/SG,Jalen Green (26865755),Jalen Green,26865755,PG/SG/G/UTIL,6200,HOU@SAS 03/04/2023 08:00PM ET,HOU,33.93
C,Clint Capela (26865759),Clint Capela,26865759,C/UTIL,6100,ATL@MIA 03/04/2023 08:00PM ET,ATL,31.78
SG/SF,Devin Vassell (26865761),Devin Vassell,26865761,SG/SF/F/G/UTIL,6000,HOU@SAS 03/04/2023 08:00PM ET,SAS,33.32
PG,Mike Conley (26865766),Mike Conley,26865766,PG/G/UTIL,5900,MIN@SAC 03/04/2023 10:00PM ET,MIN,27.56
SF/PF,KJ Martin (26865769),KJ Martin,26865769,SF/PF/F/UTIL,5800,HOU@SAS 03/04/2023 08:00PM ET,HOU,23.03
PG/SG,Jaden Ivey (26865773),Jaden Ivey,26865773,PG/SG/G/UTIL,5700,DET@CLE 03/04/2023 07:30PM ET,DET,28.89
SF/PF,Kyle Anderson (26865777),Kyle Anderson,26865777,SF/PF/F/UTIL,5600,MIN@SAC 03/04/2023 10:00PM ET,MIN,24.71
PF,Jabari Smith Jr. (26865781),Jabari Smith Jr.,26865781,PF/F/UTIL,5500,HOU@SAS 03/04/2023 08:00PM ET,HOU,25.57
PG/SG,Tyrese Maxey (26865787),Tyrese Maxey,26865787,PG/SG/G/UTIL,5400,PHI@MIL 03/04/2023 08:30PM ET,PHI,31.04
PF,Jeremy Sochan (26865784),Jeremy Sochan,26865784,PF/F/UTIL,5400,HOU@SAS 03/04/2023 08:00PM ET,SAS,22.61
PG,Killian Hayes (26865791),Killian Hayes,26865791,PG/G/UTIL,5300,DET@CLE 03/04/2023 07:30PM ET,DET,24.84
SF/PF,Tobias Harris (26865794),Tobias Harris,26865794,SF/PF/F/UTIL,5300,PHI@MIL 03/04/2023 08:30PM ET,PHI,29.77
PF/C,Kevin Love (26865798),Kevin Love,26865798,PF/C/F/UTIL,5200,ATL@MIA 03/04/2023 08:00PM ET,MIA,21.11
PF/C,Marvin Bagley III (26865802),Marvin Bagley III,26865802,PF/C/F/UTIL,5200,DET@CLE 03/04/2023 07:30PM ET,DET,22.88
SF/PF,Keita Bates-Diop (26865806),Keita Bates-Diop,26865806,SF/PF/F/UTIL,5200,HOU@SAS 03/04/2023 08:00PM ET,SAS,16.41
C,Jalen Duren (26865810),Jalen Duren,26865810,C/UTIL,5100,DET@CLE 03/04/2023 07:30PM ET,DET,23.76
SG,Malik Monk (26865812),Malik Monk,26865812,SG/G/UTIL,5100,MIN@SAC 03/04/2023 10:00PM ET,SAC,24.28
PF/C,Isaiah Stewart (26865818),Isaiah Stewart,26865818,PF/C/F/UTIL,5000,DET@CLE 03/04/2023 07:30PM ET,DET,26.06
PG,Tre Jones (26865815),Tre Jones,26865815,PG/G/UTIL,5000,HOU@SAS 03/04/2023 08:00PM ET,SAS,28.82
C,James Wiseman (26865827),James Wiseman,26865827,C/UTIL,4900,DET@CLE 03/04/2023 07:30PM ET,DET,14.77
SG/SF,Kevin Huerter (26865822),Kevin Huerter,26865822,SG/SF/F/G/UTIL,4900,MIN@SAC 03/04/2023 10:00PM ET,SAC,26.62
SG/SF,Max Strus (26865829),Max Strus,26865829,SG/SF/F/G/UTIL,4800,ATL@MIA 03/04/2023 08:00PM ET,MIA,22.19
SF/PF,Harrison Barnes (26865834),Harrison Barnes,26865834,SF/PF/F/UTIL,4800,MIN@SAC 03/04/2023 10:00PM ET,SAC,25.44
SG/SF,Bogdan Bogdanovic (26865842),Bogdan Bogdanovic,26865842,SG/SF/F/G/UTIL,4700,ATL@MIA 03/04/2023 08:00PM ET,ATL,26.19
PG/SG,Malaki Branham (26865847),Malaki Branham,26865847,PG/SG/G/UTIL,4700,HOU@SAS 03/04/2023 08:00PM ET,SAS,16.56
SF/PF,Jaden McDaniels (26865838),Jaden McDaniels,26865838,SF/PF/F/UTIL,4700,MIN@SAC 03/04/2023 10:00PM ET,MIN,23.22
SF/PF,De'Andre Hunter (26865851),De'Andre Hunter,26865851,SF/PF/F/UTIL,4600,ATL@MIA 03/04/2023 08:00PM ET,ATL,24.83
PG,Kyle Lowry (26865858),Kyle Lowry,26865858,PG/G/UTIL,4600,ATL@MIA 03/04/2023 08:00PM ET,MIA,28.48
SG,Grayson Allen (26865855),Grayson Allen,26865855,SG/G/UTIL,4600,PHI@MIL 03/04/2023 08:30PM ET,MIL,20.82
PF/C,John Collins (26865872),John Collins,26865872,PF/C/F/UTIL,4500,ATL@MIA 03/04/2023 08:00PM ET,ATL,27.12
SG/SF,Hamidou Diallo (26865865),Hamidou Diallo,26865865,SG/SF/F/G/UTIL,4500,DET@CLE 03/04/2023 07:30PM ET,DET,16.69
C,Montrezl Harrell (26865870),Montrezl Harrell,26865870,C/UTIL,4500,PHI@MIL 03/04/2023 08:30PM ET,PHI,11.20
PG/SG,Devonte' Graham (26865876),Devonte' Graham,26865876,PG/SG/G/UTIL,4500,HOU@SAS 03/04/2023 08:00PM ET,SAS,14.15
SF/PF,Keegan Murray (26865861),Keegan Murray,26865861,SF/PF/F/UTIL,4500,MIN@SAC 03/04/2023 10:00PM ET,SAC,23.18
SF/PF,Saddiq Bey (26865885),Saddiq Bey,26865885,SF/PF/F/UTIL,4400,ATL@MIA 03/04/2023 08:00PM ET,ATL,25.25
SG/SF,Pat Connaughton (26865880),Pat Connaughton,26865880,SG/SF/F/G/UTIL,4400,PHI@MIL 03/04/2023 08:30PM ET,MIL,18.94
PF/C,Naz Reid (26865889),Naz Reid,26865889,PF/C/F/UTIL,4400,MIN@SAC 03/04/2023 10:00PM ET,MIN,21.58
SF/PF,Caleb Martin (26865897),Caleb Martin,26865897,SF/PF/F/UTIL,4300,ATL@MIA 03/04/2023 08:00PM ET,MIA,21.80
SF/PF,Tari Eason (26865893),Tari Eason,26865893,SF/PF/F/UTIL,4300,HOU@SAS 03/04/2023 08:00PM ET,HOU,20.85
PG/SG,Gabe Vincent (26865905),Gabe Vincent,26865905,PG/SG/G/UTIL,4200,ATL@MIA 03/04/2023 08:00PM ET,MIA,18.22
SF/PF,Jae Crowder (26865901),Jae Crowder,26865901,SF/PF/F/UTIL,4200,PHI@MIL 03/04/2023 08:30PM ET,MIL,14
PG/SG,Victor Oladipo (26865912),Victor Oladipo,26865912,PG/SG/G/UTIL,4100,ATL@MIA 03/04/2023 08:00PM ET,MIA,22.85
SG,Alec Burks (26865909),Alec Burks,26865909,SG/G/UTIL,4100,DET@CLE 03/04/2023 07:30PM ET,DET,22.03
C,Onyeka Okongwu (26865916),Onyeka Okongwu,26865916,C/UTIL,4000,ATL@MIA 03/04/2023 08:00PM ET,ATL,23.67
SG/SF,De'Anthony Melton (26865918),De'Anthony Melton,26865918,SG/SF/F/G/UTIL,4000,PHI@MIL 03/04/2023 08:30PM ET,PHI,24.40
SG,Caris LeVert (26865925),Caris LeVert,26865925,SG/G/UTIL,3900,DET@CLE 03/04/2023 07:30PM ET,CLE,24.46
C,Charles Bassey (26865923),Charles Bassey,26865923,C/UTIL,3900,HOU@SAS 03/04/2023 08:00PM ET,SAS,16.41
PG,Jevon Carter (26865933),Jevon Carter,26865933,PG/G/UTIL,3800,PHI@MIL 03/04/2023 08:30PM ET,MIL,17.71
SG/SF,Jae'Sean Tate (26865928),Jae'Sean Tate,26865928,SG/SF/F/G/UTIL,3800,HOU@SAS 03/04/2023 08:00PM ET,HOU,17.92
PG/SG,Joe Ingles (26865936),Joe Ingles,26865936,PG/SG/G/UTIL,3700,PHI@MIL 03/04/2023 08:30PM ET,MIL,16.26
PG,TyTy Washington Jr. (26865940),TyTy Washington Jr.,26865940,PG/G/UTIL,3700,HOU@SAS 03/04/2023 08:00PM ET,HOU,10.29
SG/SF,Isaac Okoro (26865948),Isaac Okoro,26865948,SG/SF/F/G/UTIL,3600,DET@CLE 03/04/2023 07:30PM ET,CLE,13.54
SG/SF,Terence Davis (26865943),Terence Davis,26865943,SG/SF/F/G/UTIL,3600,MIN@SAC 03/04/2023 10:00PM ET,SAC,14.01
SF/PF,Isaiah Livers (26865957),Isaiah Livers,26865957,SF/PF/F/UTIL,3500,DET@CLE 03/04/2023 07:30PM ET,DET,11.86
PG,Ricky Rubio (26865961),Ricky Rubio,26865961,PG/G/UTIL,3500,DET@CLE 03/04/2023 07:30PM ET,CLE,15.43
PG/SG,Davion Mitchell (26865953),Davion Mitchell,26865953,PG/SG/G/UTIL,3500,MIN@SAC 03/04/2023 10:00PM ET,SAC,12.01
SG/SF,Wesley Matthews (26865971),Wesley Matthews,26865971,SG/SF/F/G/UTIL,3400,PHI@MIL 03/04/2023 08:30PM ET,MIL,8.38
SF,Doug McDermott (26865968),Doug McDermott,26865968,SF/F/UTIL,3400,HOU@SAS 03/04/2023 08:00PM ET,SAS,15.55
PF/C,Trey Lyles (26865964),Trey Lyles,26865964,PF/C/F/UTIL,3400,MIN@SAC 03/04/2023 10:00PM ET,SAC,15.30
PG/SG,Nickeil Alexander-Walker (26865976),Nickeil Alexander-Walker,26865976,PG/SG/G/UTIL,3400,MIN@SAC 03/04/2023 10:00PM ET,MIN,13.36
PF,P.J. Tucker (26865984),P.J. Tucker,26865984,PF/F/UTIL,3300,PHI@MIL 03/04/2023 08:30PM ET,PHI,11.31
